X,Y,OBJECTID,SiteID,Intersection,,,,,,,,,,DATA DICTIONARY,
151.2041678,-33.88284556,1,1,"Intersection of Broadway, Lee Street, Quay Street, George Street and Pitt Street",,,,,,,,,,X,"Longitude coordinates of Sydney. North is positive, South is negative"
151.2086012,-33.87828578,2,2,Intersection of Castlereagh Street and Goulburn Street,,,,,,,,,,Y,"Langitude coordinates of Sydney. North is positive, South is negative"
151.2057826,-33.86336427,3,3,Intersection of Grosvenor Street and Gloucester Street,,,,,,,,,,OBJECTID,ID based on numerical record count
151.2098971,-33.87329206,4,4,Intersection of Elizabeth Street and Park Street,,,,,,,,,,SiteID,Unique ID representing each intersection
151.2090834,-33.87979712,5,5,"Intersection of Elizabeth Street, Wentworth Avenue and Campbell Street",,,,,,,,,,Intersection,The unique location where intersections cross
151.208292,-33.86131945,6,6,Intersection of George Street and Alfred Street,,,,,,,,,,,
151.207005,-33.87296933,7,7,"Intersection of George Street, Park Street and Druitt Street",,,,,,,,,,Method,
151.2073209,-33.86517037,8,8,"Intersection of George Street, Margaret Street and Curtin Place",,,,,,,,,,- Used count unique to check the number of entries in each column ,
151.2041606,-33.86291893,9,9,Intersection of Kent Street and Clarence Street,,,,,,,,,,- Number of entries in each column matched the number of intersections,
151.2050932,-33.87281705,10,10,Intersection of Kent Street and Druitt Street,,,,,,,,,,- checked the long/lat coordinates of sydney and found similar numbers.,
151.2045924,-33.86877733,11,11,Intersection of King Street and Kent Street,,,,,,,,,,"- Assuming that positive means North and East, whereas Negative means South and West",
151.2121147,-33.8769046,12,12,"Intersection of Liverpool Street, College Street, Wentworth Avenue and Oxford Street",,,,,,,,,,,
151.2045219,-33.87614944,13,13,Intersection of Liverpool Street and Sussex Street,,,,,,,,,,,
151.2061368,-33.87638861,14,14,Intersection of Liverpool Street and George Street,,,,,,,,,,,
151.2128541,-33.86327531,15,15,Intersection of Macquarie Street and Bridge Street,,,,,,,,,,,
151.2125156,-33.86576387,16,16,Intersection of Macquarie Street and Bent Street,,,,,,,,,,,
151.2119595,-33.86985754,17,17,"Intersection of Macquarie Street, St James Road, Hyde Park entrance and Prince Albert Road",,,,,,,,,,,
151.2038878,-33.87100814,18,18,"Intersection of Market Street, Sussex Street, Western Distributor and Pyrmont Bridge",,,,,,,,,,,
151.2089434,-33.86361591,19,19,Intersection of Pitt Street and Bridge Street,,,,,,,,,,,
151.2080131,-33.87448966,20,20,Intersection of Pitt Street and Bathurst Street,,,,,,,,,,,
151.2059952,-33.858838,21,21,Intersection of Upper Fort Street and near the Sydney Harbour Bridge cycle ramp (Watson Road),,,,,,,,,,,
151.2053742,-33.86339885,22,22,Intersection of York Street and Grosvenor Street,,,,,,,,,,,
151.1965448,-33.9092491,23,23,Intersection of Bourke Road and Maddox Street,,,,,,,,,,,
151.1784001,-33.91964322,24,24,Intersection of Burrows Road and Canal Road,,,,,,,,,,,
151.1847199,-33.91535094,25,25,Intersection of Euston Road and Campbell Road,,,,,,,,,,,
151.1878063,-33.92021439,26,26,Intersection of Gardeners Road and Bourke Road,,,,,,,,,,,
151.1814264,-33.90722796,27,27,"Intersection of King Street, Princes Highway and Sydney Park pedestrian entrance",,,,,,,,,,,
151.1977889,-33.90616085,28,28,Intersection of Bowden Street and Mandible Street,,,,,,,,,,,
151.1950033,-33.91560266,29,29,Intersection of O'Riordan Street and Doody Street,,,,,,,,,,,
151.1819203,-33.88903122,30,30,"Intersection of Missenden Road, John Hopkins Drive and Grose Street",,,,,,,,,,,
151.183525,-33.89348214,31,31,Intersection of Missenden Road and King Street,,,,,,,,,,,
151.1765395,-33.88682096,32,32,Intersection of Parramatta Road and Mallett Street,,,,,,,,,,,
151.1948878,-33.88444055,33,33,"Intersection of Broadway, City Road, Parramatta Road and Bay Street",,,,,,,,,,,
151.2015789,-33.88904911,34,35,Intersection of Cleveland Street and Regent Street,,,,,,,,,,,
151.2203887,-33.87813832,35,36,Intersection of Darlinghurst Road and Liverpool Street,,,,,,,,,,,
151.2294784,-33.87684884,36,37,Intersection of New South Head Road and Neild Avenue,,,,,,,,,,,
151.2296787,-33.8763919,37,38,Intersection of New South Head Road and Bayswater Road,,,,,,,,,,,
151.2211836,-33.87931553,38,39,Intersection of Victoria Street and Burton Street,,,,,,,,,,,
151.2180589,-33.87460239,39,40,Intersection of William Street and Bourke Street,,,,,,,,,,,
151.191773,-33.89244328,40,41,Intersection of Abercrombie Street and Codrington Street,,,,,,,,,,,
151.190071,-33.88962833,41,42,"Intersection of City Road, Butlin Avenue and Eastern Avenue",,,,,,,,,,,
151.1951541,-33.88811175,42,43,Intersection of Cleveland Street and Shepherd Street,,,,,,,,,,,
151.1943439,-33.8924325,43,44,Intersection of Wilson Street and Shepherd Street,,,,,,,,,,,
151.185799,-33.90002437,44,45,"Intersection of Railway Parade, Swanston Street and Bridge Street",,,,,,,,,,,
151.181391,-33.90669373,45,46,"Intersection of King Street, Concord Street and Lord Street",,,,,,,,,,,
151.1922183,-33.90197066,46,47,Intersection of Mitchell Road and Copeland Street,,,,,,,,,,,
151.1880913,-33.90646428,47,48,"Intersection of Mitchell Road, Coulson Street and Huntley Street",,,,,,,,,,,
151.1842934,-33.90241162,48,49,Intersection of Victoria Street and George Street,,,,,,,,,,,
151.1955444,-33.89762919,49,50,"Intersection of Mitchell Road, Davy Road and Henderson Road",,,,,,,,,,,
151.1785457,-33.88440961,50,51,Intersection of Pyrmont Bridge Road and Lyons Road,,,,,,,,,,,
151.1753074,-33.8830124,51,52,Intersection of Wigram Road and Booth Street,,,,,,,,,,,
151.1882496,-33.87665806,52,53,"Intersection of Bridge Road, Darling Street and Taylor Street",,,,,,,,,,,
151.1869953,-33.87979791,53,54,Intersection of Glebe Point Road and Bridge Road,,,,,,,,,,,
151.1914122,-33.88472323,54,55,"Intersection of Parramatta Road, University Avenue, Derwent Street and Arundel Street",,,,,,,,,,,
151.1831729,-33.88332931,55,56,Intersection of Ross Street and St Johns Road,,,,,,,,,,,
151.1891925,-33.8800571,56,57,"Intersection of St Johns Road, Gottenham Street and Glebe Street",,,,,,,,,,,
151.1748157,-33.87272844,57,58,"Intersection of The Crescent, Johnston Street and Chapman Road",,,,,,,,,,,
151.175005,-33.87306372,58,59,Intersection of The Crescent and shared underpass,,,,,,,,,,,
151.2040883,-33.88021657,59,60,Intersection of Ultimo Road and Thomas Street,,,,,,,,,,,
151.2219892,-33.87538947,60,61,"Intersection of Darlinghurst Road, Victoria Street and Kings Cross Road",,,,,,,,,,,
151.2245152,-33.87518605,61,62,Intersection of Bayswater Road and Ward Avenue,,,,,,,,,,,
151.2036312,-33.85702326,62,63,Intersection of Hickson Road and Towns Place,,,,,,,,,,,
151.2030638,-33.8641443,63,64,"Intersection of Hickson Street, Napoleon Street and Sussex Street",,,,,,,,,,,
151.2189769,-33.88658554,64,65,"Intersection of Anzac Parade, Flinders Street and Moore Park Road",,,,,,,,,,,
151.2215814,-33.89523439,65,66,"Intersection of Anzac Parade, Cleveland Street and Lang Road",,,,,,,,,,,
151.2225733,-33.90146346,66,67,"Intersection of Anzac Parade, Alison Road and Dacey Avenue",,,,,,,,,,,
151.1788486,-33.89751296,67,68,Intersection of King Street and Enmore Road,,,,,,,,,,,
151.179428,-33.90289218,68,69,"Intersection of King Street, Alice Street and Angel Street",,,,,,,,,,,
151.1803419,-33.89681613,69,70,Intersection of Wilson Street and Erskineville Road,,,,,,,,,,,
151.184897,-33.89544071,70,71,"Intersection of Wilson Street, Burren Street and Brocks Lane",,,,,,,,,,,
151.2169041,-33.88062455,71,72,"Intersection of Oxford Street, Bourke Street and Flinders Street",,,,,,,,,,,
151.220945,-33.88338189,72,73,Intersection of Oxford Street and Greens Road,,,,,,,,,,,
151.2330902,-33.88958377,73,74,"Intersection of Oxford Street, Moore Park Road, Carrington Drive, Parkes Drive and Lang Road",,,,,,,,,,,
151.2251562,-33.87153151,74,75,"Intersection of Hughes Street, Greenknowe Avenue and Macleay Street",,,,,,,,,,,
151.1915897,-33.870635,75,76,Intersection of Miller Street and Saunders Street,,,,,,,,,,,
151.1949893,-33.86640218,76,77,"Intersection of Pirrama Road, Jones Bay Road and Darling Island Road",,,,,,,,,,,
151.1978305,-33.87001527,77,78,"Intersection of Murray Street, Union Street, Pyrmont Bridge and Darling Drive",,,,,,,,,,,
151.1949276,-33.8714254,78,79,Intersection of Pyrmont Bridge Road and Harris Street,,,,,,,,,,,
151.2131026,-33.89712871,79,80,"Intersection of Bourke Street, Phillip Street and Crescent Street",,,,,,,,,,,
151.202308,-33.89187941,80,82,Intersection of George Street and Wells Street,,,,,,,,,,,
151.1985835,-33.91938654,81,83,Intersection of Botany Road and Harcourt Parade,,,,,,,,,,,
151.2029403,-33.91440207,82,84,Intersection of Dunning Avenue and Queen Street,,,,,,,,,,,
151.2070333,-33.92291377,83,85,Intersection of Gardeners Road and Dalmeny Avenue,,,,,,,,,,,
151.2153192,-33.8871421,84,86,Intersection of Bourke Street and Phelps Street,,,,,,,,,,,
151.2141868,-33.88442172,85,87,Intersection of Crown Street and Fitzroy Street,,,,,,,,,,,
151.2083337,-33.88326878,86,88,"Intersection of Elizabeth Street, Chalmers Street, Eddy Avenue and Foveaux Street",,,,,,,,,,,
151.212011,-33.88810346,87,89,Intersection of Riley Street and Devonshire Street,,,,,,,,,,,
151.1945287,-33.87951422,88,90,"Intersection of Bay Street, William Henry Street, Wentworth Park entrance and Wentworth Park Road",,,,,,,,,,,
151.2010702,-33.87902081,89,91,Intersection of Darling Drive and Hay Street,,,,,,,,,,,
151.2008017,-33.88159159,90,92,Intersection of Harris Street and Ultimo Road,,,,,,,,,,,
151.1993429,-33.88305439,91,93,Intersection of Thomas Street and Jones Street,,,,,,,,,,,
151.197181,-33.88159972,92,94,Intersection of Wattle Street and Kelly Street,,,,,,,,,,,
151.2023308,-33.89839537,93,96,Intersection of Wellington Street and George Street,,,,,,,,,,,
151.2191321,-33.86977609,94,97,Intersection of Bourke Street and Nicholson Street,,,,,,,,,,,
151.2167369,-33.87238806,95,98,Intersection of Crown Street and Cathedral Street,,,,,,,,,,,
151.2111327,-33.91192395,96,99,Intersection of Epsom Road and Link Road,,,,,,,,,,,
151.2143111,-33.90396339,97,100,"Intersection of South Dowling Street, O'Dea Street and Todman Avenue",,,,,,,,,,,
151.2060002,-33.90819682,98,101,Intersection of Portman Street and Geddes Avenue,,,,,,,,,,,
151.2084582,-33.89741081,99,102,Intersection of Morehead Street and Danks Street,,,,,,,,,,,
151.2062068,-33.91069489,100,103,"Intersections of Epsom Road and Rothschild Avenue, and Epsom Road and Joynton Avenue",,,,,,,,,,,
151.2190613,-33.87009497,101,104,Intersection of Bourke Street and Wilson Street,,,,,,,,,,,
151.2096668,-33.86908444,102,105,Intersection of Castlereagh St and King St,,,,,,,,,,,
151.192342,-33.90924614,103,106,Intersection of Canal cycle path and Huntley St ,,,,,,,,,,,
151.1935409,-33.90431574,104,107,Intersection of Mcevoy St and Harley Street,,,,,,,,,,,
151.1968899,-33.88740414,105,34,Intersection of Buckland Street and Myrtle Street (including Peace park shared path),,,,,,,,,,,
151.2072982,-33.89324244,106,81,Intersection of Elizabeth Street and Redfern Street & Redfern Park,,,,,,,,,,,
151.20726,-33.903076,107,95,Intersection of Bourke Street and O'Dea Avenue & Short St,,,,,,,,,,,
151.2137446,-33.88063745,108,108,Intersection of Riley St and Campbell St,,,,,,,,,,,
151.2123117,-33.88681943,109,109,Intersection of Riley St and Arthur St,,,,,,,,,,,
